Area,Category,Detailed Tasks,Job Title / Role,Years of Experience,Firm Size,Metric,Value
1.0,Budgeting and Expense Management,a. Analyzing budgets and creating expense reports,Accouting Teacher,15.0,51-250,GPT Exposure,2.0
1.0,Budgeting and Expense Management,b. Examining and validating employee-submitted expenses,Accouting Teacher,15.0,51-250,GPT Exposure,4.0
1.0,Budgeting and Expense Management,c. Liaising with accounts payable/accounts receivable to monitor cash flows,Accouting Teacher,15.0,51-250,GPT Exposure,3.0
1.0,Budgeting and Expense Management,d. Monitoring incoming payments from customers and outgoing payments to vendors ,Accouting Teacher,15.0,51-250,GPT Exposure,3.0
2.0,Tax Management,a. Computing taxes and tax planning,Accouting Teacher,15.0,51-250,GPT Exposure,2.0
2.0,Tax Management,b. Ensuring compliance with tax regulations,Accouting Teacher,15.0,51-250,GPT Exposure,4.0
2.0,Tax Management,c. Providing tax planning services,Accouting Teacher,15.0,51-250,GPT Exposure,2.0
2.0,Tax Management,d. Working on tax planning to minimize tax impact,Accouting Teacher,15.0,51-250,GPT Exposure,3.0
2.0,Tax Management,e. Guiding tax planning and compliance,Accouting Teacher,15.0,51-250,GPT Exposure,2.0
3.0,Audit and Compliance,a. Performing audits and preparing audit documentation,Accouting Teacher,15.0,51-250,GPT Exposure,2.0
3.0,Audit and Compliance,b. Complying with financial policies and regulations,Accouting Teacher,15.0,51-250,GPT Exposure,2.0
3.0,Audit and Compliance,c. Performing bank reconciliations and assisting in month-end closing,Accouting Teacher,15.0,51-250,GPT Exposure,3.0
3.0,Audit and Compliance,d. Leading smaller audits and supervising trainees,Accouting Teacher,15.0,51-250,GPT Exposure,2.0
3.0,Audit and Compliance,e. Preparing documents for audits,Accouting Teacher,15.0,51-250,GPT Exposure,2.0
4.0,Financial Analysis and Reporting,a. Analyzing business plans,Accouting Teacher,15.0,51-250,GPT Exposure,2.0
4.0,Financial Analysis and Reporting,b. Evaluating company solvency and profitability,Accouting Teacher,15.0,51-250,GPT Exposure,2.0
4.0,Financial Analysis and Reporting,c. Forecasting financial performance and preparing reports,Accouting Teacher,15.0,51-250,GPT Exposure,2.0
4.0,Financial Analysis and Reporting,d. Conducting financial audits and reconciling bank statements,Accouting Teacher,15.0,51-250,GPT Exposure,2.0
5.0,Specialized Accounting Services,"a. Business valuation, including assessing assets, liabilities, and cash flow",Accouting Teacher,15.0,51-250,GPT Exposure,2.0
5.0,Specialized Accounting Services,b. Performing forensic accounting by nvestigating financial records for signs of fraud / misconduct,Accouting Teacher,15.0,51-250,GPT Exposure,2.0
6.0,General and Administrative,a. Managing daily accounting tasks and finance updates,Accouting Teacher,15.0,51-250,GPT Exposure,3.0
6.0,General and Administrative,"b. Managing payable and receivable accounts, processing transactions",Accouting Teacher,15.0,51-250,GPT Exposure,2.0
6.0,General and Administrative,c. Preparing financial reports and statements,Accouting Teacher,15.0,51-250,GPT Exposure,2.0
6.0,General and Administrative,"d. Identifying and resolving discrepancies, assisting with budgeting and forecasting",Accouting Teacher,15.0,51-250,GPT Exposure,3.0
1.0,Budgeting and Expense Management,a. Analyzing budgets and creating expense reports,Accouting Teacher,20.0,501-1000,GPT Exposure,4.0
1.0,Budgeting and Expense Management,b. Examining and validating employee-submitted expenses,Accouting Teacher,20.0,501-1000,GPT Exposure,4.0
1.0,Budgeting and Expense Management,c. Liaising with accounts payable/accounts receivable to monitor cash flows,Accouting Teacher,20.0,501-1000,GPT Exposure,4.0
1.0,Budgeting and Expense Management,d. Monitoring incoming payments from customers and outgoing payments to vendors ,Accouting Teacher,20.0,501-1000,GPT Exposure,4.0
2.0,Tax Management,a. Computing taxes and tax planning,Accouting Teacher,20.0,501-1000,GPT Exposure,1.0
2.0,Tax Management,b. Ensuring compliance with tax regulations,Accouting Teacher,20.0,501-1000,GPT Exposure,4.0
2.0,Tax Management,c. Providing tax planning services,Accouting Teacher,20.0,501-1000,GPT Exposure,1.0
2.0,Tax Management,d. Working on tax planning to minimize tax impact,Accouting Teacher,20.0,501-1000,GPT Exposure,1.0
2.0,Tax Management,e. Guiding tax planning and compliance,Accouting Teacher,20.0,501-1000,GPT Exposure,2.0
3.0,Audit and Compliance,a. Performing audits and preparing audit documentation,Accouting Teacher,20.0,501-1000,GPT Exposure,4.0
3.0,Audit and Compliance,b. Complying with financial policies and regulations,Accouting Teacher,20.0,501-1000,GPT Exposure,4.0
3.0,Audit and Compliance,c. Performing bank reconciliations and assisting in month-end closing,Accouting Teacher,20.0,501-1000,GPT Exposure,4.0
3.0,Audit and Compliance,d. Leading smaller audits and supervising trainees,Accouting Teacher,20.0,501-1000,GPT Exposure,4.0
3.0,Audit and Compliance,e. Preparing documents for audits,Accouting Teacher,20.0,501-1000,GPT Exposure,4.0
4.0,Financial Analysis and Reporting,a. Analyzing business plans,Accouting Teacher,20.0,501-1000,GPT Exposure,4.0
4.0,Financial Analysis and Reporting,b. Evaluating company solvency and profitability,Accouting Teacher,20.0,501-1000,GPT Exposure,4.0
4.0,Financial Analysis and Reporting,c. Forecasting financial performance and preparing reports,Accouting Teacher,20.0,501-1000,GPT Exposure,4.0
4.0,Financial Analysis and Reporting,d. Conducting financial audits and reconciling bank statements,Accouting Teacher,20.0,501-1000,GPT Exposure,4.0
5.0,Specialized Accounting Services,"a. Business valuation, including assessing assets, liabilities, and cash flow",Accouting Teacher,20.0,501-1000,GPT Exposure,4.0
5.0,Specialized Accounting Services,b. Performing forensic accounting by nvestigating financial records for signs of fraud / misconduct,Accouting Teacher,20.0,501-1000,GPT Exposure,4.0
6.0,General and Administrative,a. Managing daily accounting tasks and finance updates,Accouting Teacher,20.0,501-1000,GPT Exposure,4.0
6.0,General and Administrative,"b. Managing payable and receivable accounts, processing transactions",Accouting Teacher,20.0,501-1000,GPT Exposure,4.0
6.0,General and Administrative,c. Preparing financial reports and statements,Accouting Teacher,20.0,501-1000,GPT Exposure,4.0
6.0,General and Administrative,"d. Identifying and resolving discrepancies, assisting with budgeting and forecasting",Accouting Teacher,20.0,501-1000,GPT Exposure,4.0
1.0,Budgeting and Expense Management,a. Analyzing budgets and creating expense reports,Accointing ,5.0,501-1000,GPT Exposure,2.0
1.0,Budgeting and Expense Management,b. Examining and validating employee-submitted expenses,Accointing ,5.0,501-1000,GPT Exposure,2.0
1.0,Budgeting and Expense Management,c. Liaising with accounts payable/accounts receivable to monitor cash flows,Accointing ,5.0,501-1000,GPT Exposure,2.0
1.0,Budgeting and Expense Management,d. Monitoring incoming payments from customers and outgoing payments to vendors ,Accointing ,5.0,501-1000,GPT Exposure,2.0
2.0,Tax Management,a. Computing taxes and tax planning,Accointing ,5.0,501-1000,GPT Exposure,3.0
2.0,Tax Management,b. Ensuring compliance with tax regulations,Accointing ,5.0,501-1000,GPT Exposure,1.0
2.0,Tax Management,c. Providing tax planning services,Accointing ,5.0,501-1000,GPT Exposure,1.0
2.0,Tax Management,d. Working on tax planning to minimize tax impact,Accointing ,5.0,501-1000,GPT Exposure,1.0
2.0,Tax Management,e. Guiding tax planning and compliance,Accointing ,5.0,501-1000,GPT Exposure,1.0
3.0,Audit and Compliance,a. Performing audits and preparing audit documentation,Accointing ,5.0,501-1000,GPT Exposure,3.0
3.0,Audit and Compliance,b. Complying with financial policies and regulations,Accointing ,5.0,501-1000,GPT Exposure,2.0
